date,time,longitude,latitude,attack_type,location_description,nearest_country,eez_country,shore_distance,shore_longitude,shore_latitude,attack_description,vessel_name,vessel_type,vessel_status,data_source
2020-06-02,11:00 UTC,117.62222222222222,-0.2733333333333333,Boarded,Muara Berau Anchorage,IDN,IDN,15.621463892532763,117.49537194100003,-0.33375416499995936,"02.06.2020: 1100 UTC: Posn: 00:15.94S – 117:36.85E, Muara Berau Anchorage, Indonesia.
While at anchor two robbers from a small boat boarded a bulk carrier using hooks and ropes. They broke into the forecastle store and started lowering them in the water. Alert crew noticed the robbers and raised the alarm resulting in the robbers aborting and escaping without anything.","NA",Bulk Carrier,"NA",imb
2020-06-03,08:40 UTC,-72.5525,18.5525,Boarded,"Port Au Prince Anchorage, Outside Anchorage Area S",HTI,HTI,4.741085955199448,-72.59654700399994,18.56085846600007,"03.06.2020: 0840 UTC: Posn: 18:35.2N – 072:33.7W, Port Au Prince Anchorage, Outside Anchorage Area S, Haiti.
Five robbers armed with a machete and knives boarded an anchored tanker. Duty watchmen on routine rounds noticed the robbers and immediately informed the D/O who raised the alarm. Crew mustered on the bridge. Seeing the alerted crew the robbers escaped with stolen mooring ropes and ship’s properties. The incident reported to the CSO and Port Control.","NA",Product Tanker,Anchored,imb
2020-06-09,00:15 UTC,-13.783333333333333,9.35,Boarded,Conakry Anchorage,GIN,GIN,18.48635100993372,-13.722401495999918,9.505804755000042,"09.06.2020: Around 0015 UTC: Posn: 09:21.2N – 013:47.0W, Conakry Anchorage, Guinea.
Around seven persons armed with guns and knives boarded an anchored tanker. They stole ship’s cash and crew personal belongings before escaping. It was reported that five crew members were assaulted during the incident.","NA",Product Tanker,Anchored,imb
2020-06-09,19:00 UTC,4.716666666666667,3.2416666666666667,Attempted,Around 95nm SW of Bayelsa,NGA,NGA,179.0003944159936,5.782399936000047,4.455959377000056,"09.06.2020: 1900 UTC: Posn: 03:14.3N – 004:43.0E, Around 95nm SW of Bayelsa, Nigeria.
Five persons in a skiff, approached a container ship underway. The D/O raised the alarm, activated the fire pump, increased speed and commenced evasive manoeuvres. After several attempts to board the ship the skiff aborted and moved away. Ship and crew safe. Incident reported to the Authorities and Security Escort Company.","NA",Container,"NA",imb
2020-06-10,03:30 UTC,-50.968333333333334,0.035555555555555556,Boarded,Macapa Anchorage,BRA,BRA,5.755051540037518,-50.94726590899995,-0.01197384499994314,"10.06.2020: 0330 UTC: Posn: 00:02.8N – 050:58.6W, Macapa Anchorage, Brazil.
Duty crew onboard an anchored bulk carried noticed two unauthorised persons on the aft deck. As he approached to investigate the two persons armed with a knife and pipe threatened the watchkeeper who retreated and reported the attack to the OOW. Alarm raised and crew mustered. Seeing the alerted crew the robbers escaped with stolen ship's properties. Incident reported to Port Authority and local agent.","NA",Bulk Carrier,Anchored,imb
2020-06-12,21:00 UTC,120.90555555555555,14.563888888888888,Boarded,Manila Anchorage,PHL,PHL,6.518030402834363,120.95883222700002,14.59178294500009,"12.06.2020: 2000 – 2100 UTC: Posn: 14:33.5N – 120:53.8E, Manila Anchorage, Philippines.
Unnoticed, robbers boarded an anchored container ship. Duty AB on routine rounds noticed the bosun store and paint room door padlocks broken and doors open. He immediately informed the D/O who raised the alarm and crew mustered. A search was carried out. It was reported that ship’s stores and properties were stolen. Incident reported to the Port Authority.","NA",Container,Anchored,imb
2020-06-14,"NA",107.04578603108725,10.39358396722763,Boarded,Vung Tau Anchorage,VNM,VNM,3.687064712420478,107.07935631600003,10.391017971000053,"14.06.2020: Posn: Vung Tau Anchorage, Vietnam.
Unnoticed, robbers boarded an anchored bulk carrier. They stole ship’s store and escaped. The robbery was discovered during the voyage to the next port.","NA",Bulk Carrier,Anchored,imb
2020-06-16,04:15 UTC,100.83555555555556,13.185555555555556,Boarded,Ko Sichang Anchorage,THA,THA,9.337146339272836,100.91578209700003,13.154852606000077,"16.06.2020: 0415 UTC: Posn : 13:11.08N – 100:50.80E: Kosichang Anchorage, Thailand.
Unnoticed robbers boarded a anchored bulk carrier during cargo operations, broke into the aft store, stole ship’s equipment and escaped. The break-in was noticed by crew during routine operations. Incident reported to agent and PFSO.","NA",Bulk Carrier,Anchored,imb
2020-06-17,02:00 UTC,105.98333333333333,-5.900555555555556,Boarded,Merak Anchorage,IDN,IDN,2.4460864787794785,105.99724368600005,-5.917738539999959,"17.06.2020: 0200 UTC: Posn : 05:54.2S – 105:59.0E: Merak Anchorage, Indonesia.
Unnoticed, robbers boarded an anchored product tanker, stole ship’s spares and escaped. The robbery was discovered during routine rounds of the engine room.","NA",Product Tanker,Anchored,imb
2020-06-24,14:30 UTC,2.65,5.366666666666666,Boarded,Around 60nm South of Cotonou,BEN,BEN,110.92509333823799,2.7032983730000524,6.368312893000052,"24.06.2020: Around 1430 UTC: Posn: 05:21N – 002:37E, Around 60nm South of Cotonou, Benin.
Six armed pirates attacked and boarded a fishing vessel underway, kidnapped six crew and escaped. The incident was reported to the Regional Authorities who coordinated a response and escorted the remaining crew to a safe port.","NA",Fishing Vessel,"NA",imb
